datetime,open,high,low,close,volume
2017-09-01 00:00:00,593.54,594.7,592.0,593.89,191.15437888
2017-09-01 00:30:00,594.05,596.65,593.2,596.65,375.06915972
2017-09-01 01:00:00,595.11,598.9,593.2,594.79,583.7091742
2017-09-01 01:30:00,594.79,596.99,593.81,594.93,92.88244726
2017-09-01 02:00:00,594.94,596.0,592.1,596.0,608.0464029
2017-09-01 02:30:00,595.69,599.71,594.02,598.04,498.04195642
2017-09-01 03:00:00,597.58,598.77,594.3,594.34,153.87518878
2017-09-01 03:30:00,594.3,597.07,594.27,594.4,129.83970676
2017-09-01 04:00:00,594.27,596.0,593.5,594.11,159.47923074
2017-09-01 04:30:00,594.1,596.0,591.0,591.0,415.56933752
2017-09-01 05:00:00,591.0,593.42,591.0,592.01,143.11348865
2017-09-01 05:30:00,592.01,594.73,590.62,590.62,192.83224535
2017-09-01 06:00:00,591.64,591.64,588.5,588.5,317.61176075
2017-09-01 06:30:00,588.39,591.55,586.0,591.01,1141.07798276
2017-09-01 07:00:00,590.13,597.01,590.0,595.55,1681.78657555
2017-09-01 07:30:00,594.8,595.32,593.02,594.62,323.10569692
2017-09-01 08:00:00,594.63,599.12,594.28,598.6,252.21563403
2017-09-01 08:30:00,597.71,599.81,597.35,598.17,297.08891281
2017-09-01 09:00:00,598.17,602.07,597.03,597.72,616.89866476
2017-09-01 09:30:00,598.0,599.98,594.33,599.98,218.46090939
2017-09-01 10:00:00,599.87,602.77,599.87,602.69,334.53492276
2017-09-01 10:30:00,601.01,603.49,600.73,602.0,160.33085579
2017-09-01 11:00:00,602.8,602.8,600.14,600.5,350.56366057
2017-09-01 11:30:00,600.11,600.14,597.37,599.5,1150.81898907
2017-09-01 12:00:00,599.5,601.9,599.01,601.2,178.26791713
2017-09-01 12:30:00,601.9,605.8,601.8,604.99,500.26761387
2017-09-01 13:00:00,605.0,606.0,596.0,599.0,512.4259284
2017-09-01 13:30:00,600.98,604.9,598.7,599.2,145.31985432
2017-09-01 14:00:00,599.2,602.1,596.29,598.1,190.82202839
2017-09-01 14:30:00,597.97,604.0,597.11,602.55,341.34742802
2017-09-01 15:00:00,603.71,607.48,600.51,606.31,503.35779992
2017-09-01 15:30:00,606.1,627.0,606.0,622.18,2480.3948534
2017-09-01 16:00:00,622.19,656.99,620.5,643.0,5851.89826186
2017-09-01 16:30:00,643.28,652.9,642.1,645.0,2176.13344886
2017-09-01 17:00:00,644.0,646.67,632.0,634.43,3786.99052793
2017-09-01 17:30:00,634.42,635.57,628.08,629.17,1072.55538315
2017-09-01 18:00:00,629.0,632.3,625.1,629.41,908.61524091
2017-09-01 18:30:00,630.7,644.46,629.42,640.01,1038.24841844
2017-09-01 19:00:00,640.33,640.92,629.17,635.2,635.39683374
2017-09-01 19:30:00,635.2,647.91,634.46,640.0,721.56709282
2017-09-01 20:00:00,639.96,644.75,633.2,638.85,631.12007072
2017-09-01 20:30:00,639.23,640.9,632.0,636.27,903.79218335
2017-09-01 21:00:00,636.26,636.79,629.2,629.2,529.89284078
2017-09-01 21:30:00,629.2,631.2,625.22,629.98,1432.51500269
2017-09-01 22:00:00,628.73,632.3,628.71,630.59,416.16217797
2017-09-01 22:30:00,630.59,632.95,629.3,632.1,386.60583643
2017-09-01 23:00:00,632.1,636.0,628.03,630.49,441.19923358
2017-09-01 23:30:00,628.03,630.13,625.1,628.01,366.63921554
2017-09-02 00:00:00,628.0,628.0,620.0,621.5,811.91821772
2017-09-02 00:30:00,622.4,623.7,618.0,619.0,1539.90559304
2017-09-02 01:00:00,619.0,619.7,612.97,614.52,816.14472819
2017-09-02 01:30:00,614.1,632.0,611.97,632.0,1234.76589948
2017-09-02 02:00:00,632.0,646.53,628.73,639.99,2690.73679079
2017-09-02 02:30:00,639.36,642.0,629.01,632.0,662.47815667
2017-09-02 03:00:00,631.2,633.0,620.03,622.15,665.08516216
2017-09-02 03:30:00,620.01,627.25,617.12,619.22,459.42318641
2017-09-02 04:00:00,619.99,627.16,617.2,625.95,134.82178972
2017-09-02 04:30:00,625.69,627.19,623.94,624.51,50.27022912
2017-09-02 05:00:00,623.97,624.99,605.0,611.0,696.24706414
2017-09-02 05:30:00,611.0,611.0,590.1,591.88,3829.97135522
2017-09-02 06:00:00,592.13,601.21,590.1,600.2,951.43027222
2017-09-02 06:30:00,600.09,607.47,595.0,600.31,1682.5275059
2017-09-02 07:00:00,605.55,607.54,600.0,605.25,848.03265925
2017-09-02 07:30:00,605.56,609.77,598.1,604.87,363.00508251
2017-09-02 08:00:00,604.88,607.67,591.2,591.31,405.12824414
2017-09-02 08:30:00,591.4,601.08,589.79,598.81,857.98395878
2017-09-02 09:00:00,598.81,601.02,582.3,586.2,1343.6389382999996
2017-09-02 09:30:00,585.08,589.07,581.86,585.8,410.89566153
2017-09-02 10:00:00,584.93,590.99,582.3,583.08,255.52221275
2017-09-02 10:30:00,583.08,591.0,582.3,588.72,280.47115116
2017-09-02 11:00:00,588.72,598.59,587.59,598.59,282.73149537
2017-09-02 11:30:00,597.0,598.61,589.09,596.0,306.27231335
2017-09-02 12:00:00,596.0,600.9,587.88,589.0,609.39692939
2017-09-02 12:30:00,588.5,590.2,585.1,587.52,230.71047872
2017-09-02 13:00:00,587.26,591.87,586.33,591.27,120.93834078
2017-09-02 13:30:00,590.88,591.75,586.25,589.0,115.31886711
2017-09-02 14:00:00,588.01,588.31,580.36,580.36,377.57836671
2017-09-02 14:30:00,580.02,580.18,563.3,573.05,3358.24902496
2017-09-02 15:00:00,573.02,575.0,561.63,568.78,1510.98370972
2017-09-02 15:30:00,568.8,577.0,565.62,576.0,600.07814583
2017-09-02 16:00:00,576.5,582.7,572.6,575.28,439.77940405
2017-09-02 16:30:00,575.1,582.13,572.24,574.98,551.37221073
2017-09-02 17:00:00,574.94,592.73,573.21,582.71,570.39543421
2017-09-02 17:30:00,582.72,584.13,578.0,583.9,238.03888504
2017-09-02 18:00:00,584.13,584.76,579.0,579.6,171.81613077
2017-09-02 18:30:00,579.6,581.66,572.0,575.0,517.59345103
2017-09-02 19:00:00,575.0,584.88,570.0,579.0,467.80562329
2017-09-02 19:30:00,578.2,580.58,573.02,576.04,132.03830144
